X-axis angular rate(°/s),Z-axis angular rate(°/s),Z-axis angular rate(°/s),X-axis acceleration(m/s2),Z-axis acceleration(m/s2),Y-axis acceleration(m/s2),Number of satellites,HDOP,GNSS North Velocity(m/s),GNSS UP Velocity(m/s),GNSS East Velocity(m/s),GNSS height(m),GNSS longitude(°),GNSS latitude(°),Barometer height(m),GNSS calculation of heading(°)
0.042496,0.004864,-0.005085,-0.130201,9.800895,0.042428,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.038279,-0.002205,-0.005828,-0.132935,9.79356,0.03743,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.037502,0.003606,0.003153,-0.13079,9.792705,0.03435,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.02989,0.008875,-0.002812,-0.125664,9.791713,0.032632,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.019099,-0.003934,0.007789,-0.125093,9.793329,0.030043,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.060998,-0.012462,0.021639,-0.12802,9.804458,0.036142,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.062184,-0.010995,0.009784,-0.12596,9.810989,0.043254,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.03493,-0.004011,-0.017244,-0.126892,9.79325,0.040048,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.074271,0.010334,-0.016582,-0.132523,9.793586,0.041538,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.104355,0.011111,0.017252,-0.126316,9.816691,0.050275,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.01253,0.005742,0.005,-0.119413,9.805128,0.054598,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
0.039902,0.011104,-0.037584,-0.12297,9.778207,0.051198,21,0.83982,-0.000541,0.002967,0.041038,43.335815,116.3407264,40.0044038,43.36293,-169.554504
-0.029487,0.006581,0.001438,-0.130985,9.786818,0.049218,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.044096,-0.010563,0.039277,-0.132033,9.809342,0.057387,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.031232,-0.014865,-0.007935,-0.129183,9.807292,0.057085,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.015659,-0.008409,-0.034378,-0.135896,9.800425,0.054493,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.041633,0.001032,0.002448,-0.142174,9.806492,0.056955,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.020736,0.021991,0.010022,-0.14177,9.809605,0.055952,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.032225,0.028021,-0.007975,-0.142227,9.795835,0.051903,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.029687,0.028928,0.028085,-0.141214,9.78595,0.050425,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.008966,0.029191,0.062688,-0.134599,9.796357,0.050644,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.051876,0.015562,0.035317,-0.128411,9.805442,0.04883,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.094104,0.00172,-0.014027,-0.123514,9.798131,0.043816,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.073028,0.000813,-0.022771,-0.125766,9.792302,0.040762,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.04037,-0.001068,-0.010779,-0.132499,9.797744,0.040907,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.024624,-0.000908,0.002713,-0.131912,9.807893,0.042058,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.031558,0.010745,0.030553,-0.129558,9.798582,0.041566,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.013442,0.017915,0.02686,-0.130851,9.782764,0.038628,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.025686,0.013286,0.030094,-0.130418,9.788784,0.040604,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.041942,0.012113,0.035377,-0.124499,9.803576,0.04307,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.009678,0.013093,0.000082,-0.12659,9.806652,0.04295,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
0.020185,0.007316,-0.02958,-0.134925,9.800586,0.039987,21,0.83982,0.046471,0.005201,0.050093,43.342602,116.3407264,40.0044039,43.434105,-169.533173
-0.0146,-0.000919,-0.0335,-0.136073,9.809886,0.042622,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.024135,-0.000138,-0.012393,-0.134054,9.819597,0.048109,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.00247,0.000872,-0.010158,-0.13433,9.811256,0.051826,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.036471,0.000422,-0.001884,-0.135629,9.792171,0.054706,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.034831,0.010354,0.028595,-0.138412,9.774129,0.058608,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.038519,0.017639,0.044899,-0.137676,9.768084,0.062188,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.054532,0.017689,0.046156,-0.132261,9.769096,0.056107,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.041064,0.009306,0.040179,-0.128207,9.779097,0.047253,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.02216,0.003311,0.062027,-0.115124,9.813764,0.04286,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.000412,-0.00356,0.027168,-0.105951,9.835539,0.038411,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.048875,-0.005509,-0.06447,-0.109776,9.821236,0.020615,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.055413,-0.003299,-0.081788,-0.117871,9.819186,0.010964,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.130321,-0.012421,-0.029475,-0.123798,9.837614,0.020681,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.031588,-0.008497,-0.046597,-0.131043,9.817987,0.029953,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
0.066195,-0.001686,-0.100057,-0.146448,9.754254,0.030285,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.046637,-0.000818,-0.023733,-0.156825,9.727489,0.03378,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.154363,0.005937,0.077616,-0.151195,9.766515,0.053725,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.051787,0.007339,0.06597,-0.142382,9.78376,0.064212,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.030922,0.010447,0.006941,-0.140533,9.781171,0.058632,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.134754,0.013716,0.021335,-0.139778,9.812843,0.068193,21,0.83983,-0.018889,0.04205,-0.005618,43.347183,116.3407264,40.0044039,43.401417,-169.53096
-0.141234,0.014222,0.063957,-0.136567,9.84047,0.075207,21,0.83983,-0.035794,0.034699,-0.01868,43.33659,116.3407264,40.004404,43.379112,-169.540649
-0.086665,0.001125,0.008845,-0.135319,9.852522,0.072533,21,0.83983,-0.035794,0.034699,-0.01868,43.33659,116.3407264,40.004404,43.379112,-169.540649
